rule_id,scope,trigger,requirement,enforcement,waiver_class,procedure
POL-COMMIT-TRAILERS,commit,creating a post-cutover commit,Use real protocol and AI-assistance Git trailers.,scripts/check-policy.py,migration-only,.agents/workflow.md
POL-AI-ATTRIBUTION,AI-assisted commit,AI assistance was used,Add a syntactically valid Assisted-by trailer and do not add an AI Signed-off-by or Co-authored-by trailer.,scripts/check-policy.py,never,.agents/workflow.md
POL-PREFLIGHT,write transition,before edits commits or pushes,Run the applicable preflight and prevent a failed gate from being followed by a push.,scripts/check-policy.py,never,.agents/workflow.md
POL-CHECKER-CHANGE,checker semantics,changing enforcement behavior,Use a governance task with affected rule IDs and red-before after-mutation evidence plus synchronized policy procedure edits.,scripts/check-policy.py,never,.agents/workflow.md
POL-WAIVER-EXACT,waiver,creating or using an exception,Use one narrow owned evidenced unexpired waiver whose rule permits it.,scripts/check-policy.py,never,.agents/workflow.md
POL-NO-REPORT-ONLY,enforcement,a rule applies,Return satisfied waived pending-external or failing and never permanent report-only success.,scripts/check-policy.py,never,.agents/workflow.md
POL-PATH-CLASSIFICATION,change scope,classifying mutable files,Classify policy checker docs scripts tests and CI explicitly without blanket directory exemptions.,scripts/check-pr-size.py; scripts/check-policy.py,never,.agents/workflow.md
POL-PR-SIZE,pull request,before ready,Keep each explicit path class within its reviewed change budget.,scripts/check-pr-size.py; scripts/check-policy.py,expiring,.agents/workflow.md
POL-READY-SPEC,helper queue,advertising a task as ready,Prove the spec is committed and reachable and the declared gate has a failing mutation.,scripts/check-gate-commands.py; scripts/check-policy.py,never,.agents/workflow.md
POL-READY-HARDWARE,helper queue,advertising a task as ready,Declare CPU gateability or the exact required hardware.,scripts/check-gate-commands.py; scripts/check-policy.py,never,.agents/workflow.md
POL-READY-DEPS,helper queue,advertising a task as ready,Prove parsed dependencies are satisfied and no live claim exists.,scripts/check-policy.py,never,.agents/workflow.md
POL-PROMPT-ENVELOPE,delegated task,dispatching an agent,Supply goal context constraints done-when required-evidence and authority or return NEEDS_CONTEXT.,scripts/check-prompt-contract.py; scripts/check-policy.py,never,.agents/workflow.md
POL-PROMPT-BOUNDARIES,runtime prompt,changing an agent prompt,Keep prompts versioned bounded tool-neutral and fully parsed with explicit method output and stop rows.,scripts/check-prompt-contract.py; scripts/check-policy.py,never,.agents/workflow.md
POL-INTAKE-REVALIDATE,task intake,before claim or implementation,Verify the gap against current code tests issues pull requests and live claims and reconcile stale work.,scripts/check-policy.py,never,.agents/workflow.md
POL-ONE-SURFACE,capability completion,before DONE,Expose every shipped capability through include/vllm.h and keep examples as thin clients of the same library surface.,scripts/check-surface-coverage.py; scripts/check-policy.py,never,.agents/workflow.md
